"(-0.001, 0.06]",0.06
"(0.06, 0.065]",0.06445
"(0.065, 0.07]",0.0683
"(0.07, 0.075]",0.0712
"(0.075, 0.08]",0.077
"(0.08, 0.085]",0.0814
"(0.085, 0.09]",0.0877
"(0.09, 0.095]",0.0943
"(0.095, 0.1]",0.1
"(0.1, 0.105]",0.1049
"(0.105, 0.11]",0.1097
"(0.11, 0.115]",0.1134
"(0.115, 0.12]",0.1196
"(0.12, 0.125]",0.1242
"(0.125, 0.13]",0.13
"(0.13, 0.135]",0.1343
"(0.135, 0.14]",0.1401
"(0.14, 0.145]",0.1446
"(0.145, 0.15]",0.15
"(0.15, 0.155]",0.1568
"(0.155, 0.16]",0.1609
"(0.16, 0.165]",0.1669
"(0.165, 0.17]",0.173
"(0.17, 0.175]",0.1814
"(0.175, 0.18]",0.1902
"(0.18, 0.185]",0.1988
"(0.185, 0.19]",0.2095
"(0.19, 0.195]",0.2183
"(0.195, 0.2]",0.2273
"(0.2, 0.205]",0.2356
"(0.205, 0.21]",0.241
"(0.21, 0.215]",0.2466
"(0.215, 0.22]",0.2514
"(0.22, 0.225]",0.2593
"(0.225, 0.23]",0.2695
"(0.23, 0.235]",0.2733
"(0.235, 0.24]",0.2865
"(0.24, 0.245]",0.2917
"(0.245, 0.25]",0.2942
"(0.25, 0.255]",0.2978
"(0.255, 0.26]",0.2991
"(0.26, 0.265]",0.3047
"(0.265, 0.27]",0.3074
"(0.27, 0.275]",0.3087
"(0.275, 0.28]",0.30885
"(0.28, 0.285]",0.311
"(0.285, 0.29]",0.316
"(0.29, 0.295]",0.316
"(0.295, 0.3]",0.3177
"(0.3, 0.31]",0.3194
"(0.31, 0.32]",0.3194
"(0.32, 0.33]",0.3203
"(0.33, 0.34]",0.323
"(0.34, 0.35]",0.35495
"(0.35, inf]",0.9251
