Groups,Variable List
Grp_Inqs,NumberofCUnionInqsPast1M
Grp_Inqs,NumberofCUnionInqsPast3M
Grp_Inqs,NumberofCUnionInqsPast6M
Grp_Inqs,NumberofCUnionInqsPast12M
Grp_Inqs,NumberFBInqs
Grp_Inqs,NumberFBInqsPast1M
Grp_Inqs,NumberFBInqsPast3M
Grp_Inqs,NumberFBInqsPast6M
Grp_Inqs,NumberFBInqsPast12M
Grp_Inqs,NumberFBQInqs
Grp_Inqs,NumberFBQInqsPast1M
Grp_Inqs,NumberFBQInqsPast3M
Grp_Inqs,NumberFBQInqsPast6M
Grp_Inqs,NumberFBQInqsPast12M
Grp_PublicRecords,NumberofPublicRecords
Grp_PublicRecords,NumberofPublicRecordsPast6M
Grp_PublicRecords,NumberofPublicRecordsPast12M
Grp_PublicRecords,NumberofPublicRecordsPast7Y
Grp_PublicRecords,NumberofBankruptcy
Grp_PublicRecords,NumberofBankruptcyPast6M
Grp_PublicRecords,NumberofBankruptcyPast12M
Grp_PublicRecords,NumberofBankruptcyPast7Y
Grp_PublicRecords,AmountLiabilitiesPublicRecords
Grp_PublicRecords,AmountLiabilitiesPublicRecordsPast6M
Grp_PublicRecords,AmountLiabilitiesPublicRecordsPast12M
Grp_PublicRecords,AmountLiabilitiesPublicRecordsPast7Y
Grp_PublicRecords,AmountLiabilitiesBankruptcy
Grp_PublicRecords,AmountLiabilitiesBankruptcyPast6M
Grp_PublicRecords,AmountLiabilitiesBankruptcyPast12M
Grp_PublicRecords,AmountLiabilitiesBankruptcyPast7Y
Grp_PublicRecords,MonthsSinceMostRecentPublicRecord
Grp_PublicRecords,MonthsSinceMostRecentBankruptcy
