ApplicationBorrowerEventSK,CreditReportId,ActiveCreditLimit,AverageBankRevolvingUtil,AverageChargeCardUtil,AverageCreditCardUtil,AverageCreditUnionUtil,AverageFinanceRevolveUtil,AverageHELOCUtil,AverageLineOfCreditUtil,AverageRetailUtil,AverageRevolveUtil,AvgActiveUnsecuredInstallmentInterestRate,AvgUnsecuredInstallmentInterestRate,AvgUtilization,hasActiveAutoLoan,hasActiveChargeAccount,HasActiveCreditCard,hasActiveHELOC,hasActiveInstallTrade,hasActiveLineofCredit,hasActiveMortgage,hasActiveSecuredInstallment,hasActiveStudentLoan,hasActiveUnsecuredInstallment,hasAutoLoan,HasCreditCard,hasHELOC,hasInstallTrade,hasLineofCredit,hasMortgage,hasSecuredInstallment,hasStudentLoan,hasUnsecuredInstallment,LatestActiveUnsecuredInstallmentInterestRate,LengthOfCreditHistory,MaxActiveUnsecuredInstallmentInterestRate,MaxBankRevolvingUtil,MaxChargeCardUtil,MaxCreditCardUtil,MaxCreditUnionUtil,MaxDelinquencyAmount,MaxFinanceRevolveUtil,MaxHELOCUtil,MaxLineOfCreditUtil,MaxRetailUtil,MaxRevolveUtil,MaxUnsecuredInstallmentInterestRate,MaxUtilization,MinActiveUnsecuredInstallmentInterestRate,MinBankRevolvingUtil,MinChargeCardUtil,MinCreditCardUtil,MinCreditUnionUtil,MinFinanceRevolveUtil,MinHELOCUtil,MinLineOfCreditUtil,MinRetailUtil,MinRevolveUtil,MinUnsecuredInstallmentInterestRate,MinUtilization,MonthsSinceLastestUnsecured,MonthsSinceMaxDelinquencyAmount,MonthsSinceMostMortgageDq,MonthsSinceMostRecentAutoDq,MonthsSinceMostRecentCreditCardDq,MonthsSinceMostRecentDq,MonthsSinceMostRecentInstallmentDq,MonthsSinceMostRecentRevolvingDq,MonthsSinceMostRecentStudentLoanDq,NumberActiveAutoLoan,NumberActiveCharge,NumberActiveCreditCard,NumberActiveHELOC,NumberActiveInstallmentTrades,NumberActiveLineofCredit,NumberActiveMortgage,NumberActiveSecuredInstallment,NumberActiveStudentLoan,NumberActiveTradelines,NumberActiveUnsecuredInstallment,NumberAutoLoan,NumberCreditCard,NumberHELOC,NumberInstallmentTrades,NumberLineofCredit,NumberMortgage,NumberofDqPast12M,NumberofDqTrades,NumberofMortgageDqPast12M,NumberofTradesSinceMostRecentDqPast24M,NumberofTradeswDq30DPDPast24M,NumberofTradeswDq90DPDPast24M,NumberSecuredInstallment,NumberStudentLoan,NumberTradelines,NumberTradeWithUtilAbove75,NumberUnsecuredInstallment,PercentageAccountEverDelinquent,TotalAmountBalanceOnCreditLines,TotalAmountCurrentBalance,TotalAmountPastDueTradelines ,TotalBalanceAmountofDqTrades,TotalCreditLimit,Vantage,WeightedAvgUtilization,DaysSinceMostRecentInquiryPast1M,MonthsSinceMostRecentInquiry,NumberFBInqs,NumberFBInqsPast12M,NumberFBInqsPast1M,NumberFBInqsPast3M,NumberFBInqsPast6M,NumberFBQInqs,NumberFBQInqsPast12M,NumberFBQInqsPast1M,NumberFBQInqsPast3M,NumberFBQInqsPast6M,NumberofBankInqs,NumberofBankInqsPast12M,NumberofBankInqsPast1M,NumberofBankInqsPast3M,NumberofBankInqsPast6M,NumberofCUnionInqs,NumberofCUnionInqsPast12M,NumberofCUnionInqsPast1M,NumberofCUnionInqsPast3M,NumberofCUnionInqsPast6M,NumberofFinanceInqs,NumberofFinanceInqsPast12M,NumberofFinanceInqsPast1M,NumberofFinanceInqsPast3M,NumberofFinanceInqsPast6M,NumberofInqs,NumberofInqsPast12M,NumberofInqsPast1M,NumberofInqsPast3M,NumberofInqsPast6M,HighestCollectionsAmount,HighestCollectionsAmountVerified12M,HighestNMCollectionsAmount,HighestNMCollectionsAmountVerified12M,MonthsSinceMostRecentCollection,MonthsSinceMostRecentNMCollection,NumberCollectionsAmountGreater100,NumberCollectionsPast12M,NumberCollectionsPast1to5year,NumberCollectionsPast6M,NumberNMCollections,NumberNMCollectionsBalanceGreater100,NumberNMCollectionsPast12M,NumberNMCollectionsPast1to5year,NumberNMCollectionsPast6M,NumberofCollections,TotalCollectionsAmount,TotalCollectionsAmountBalanceVerified12M,TotalNMCollectionsAmount,TotalNMCollectionsAmountVerified12M,AmountLiabilitiesBankruptcy,AmountLiabilitiesBankruptcyPast12M,AmountLiabilitiesBankruptcyPast6M,AmountLiabilitiesBankruptcyPast7Y,AmountLiabilitiesPublicRecords,AmountLiabilitiesPublicRecordsPast12M,AmountLiabilitiesPublicRecordsPast6M,AmountLiabilitiesPublicRecordsPast7Y,MonthsSinceMostRecentBankruptcy,MonthsSinceMostRecentPublicRecord,NumberofBankruptcy,NumberofBankruptcyPast12M,NumberofBankruptcyPast6M,NumberofBankruptcyPast7Y,NumberofPublicRecords,NumberofPublicRecordsPast12M,NumberofPublicRecordsPast6M,NumberofPublicRecordsPast7Y
132873892,23367809,0,,,,,,,,,,0.0867,0.09845,,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0.083,2743,0.0867,,,,,,,,,,,0.1102,,0.0867,,,,,,,,,,0.0867,,999,,,,,,,,,1,3,1,0,3,0,0,0,0,7,1,1,2,0,5,0,0,0,0,0,0,0,0,0,0,10,0,2,,0,143464,0,0,18500,692,,,8.624292502,4,2,0,0,0,5,3,0,0,0,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,6,3,0,0,0,,,,,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
133305832,23507604,14550,0.163360269,0.022818182,0.331777778,0.550888889,,,,0,0.208193939,,0.2062,0.208193939,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0.0706,5127,,0.444444444,0.045636364,0.550888889,0.550888889,,,,,0,0.550888889,0.2062,0.550888889,,0,0,0,0.550888889,,,,0,0,0.2062,0,999,,,,,,,,,1,5,4,0,3,0,1,0,0,13,1,5,6,0,9,0,5,0,0,0,0,0,0,0,0,26,0,3,0,3730,139893,0,0,39050,745,0.256357388,,9.011343954,2,2,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,,,,,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
133326189,23509960,5556,0.305432008,0.1522,0.371148013,,,,,,0.261674006,,,0.261674006,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,652,,0.49125,0.174,0.49125,,,,,,,0.49125,,0.49125,,0.174,0.1304,0.251046025,,,,,,0.1304,,0.1304,999,,,,,,,,,0,2,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,1439,1439,0,0,5556,648,0.25899928,,21.7291014,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,376,376,,,28.30007822,999,1,0,2,0,0,0,0,0,0,2,466,475,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
133599329,23609406,15280,0.00625,0,0.3195,0.946,,,,,0.239625,0.3125,0.176966667,0.239625,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0.3125,7019,0.3125,0.0125,0,0.946,0.946,,,,,,0.946,0.3125,0.946,0.3125,0,0,0,0.946,,,,,0,0.1092,0,999,,,60,,60,60,,,3,2,7,0,4,0,0,0,0,13,1,6,7,1,11,0,1,0,1,0,0,0,0,0,1,23,1,3,0.5,3909,44349,0,0,194380,660,0.255824607,,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
133600835,23609384,0,,,,,,,,,,,,,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0.0642,2688,,,,,,217,,,,,,,,,,,,,,,,,,,,999,44,,,40,40,,40,,1,0,2,0,1,0,1,0,0,4,0,1,2,0,1,0,2,0,2,0,0,0,0,0,0,6,0,0,1,0,240709,0,0,18500,749,,,10.29189298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,,,,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
133698404,23643149,2350,0,0,0,,,,,,0,,,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,,1836,,0,0,0,,,,,,,0,,0,,0,0,0,,,,,,0,,0,999,,,,,,,,,2,3,4,0,2,0,1,0,0,10,0,5,6,0,5,0,1,0,0,0,0,0,0,0,0,15,0,0,,0,225419,0,0,15850,648,0,,2.410454108,3,1,0,0,0,3,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,1,3,738,738,155,155,31.51988141,31.51988141,2,0,2,0,1,1,0,1,0,2,893,893,155,155,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
133786338,23678731,78980,0.385128596,0.171937819,0.385128596,,0.489666667,,,0.013073394,0.339444858,0.13255,0.118233333,0.339444858,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,,6467,0.185,0.8605,0.489666667,0.8605,,6062,0.489666667,,,0.026146789,0.8605,0.185,0.8605,0.0801,0,0,0,,0.489666667,,,0,0,0.0801,0,999,40,17,,60,17,,60,,0,3,15,0,2,0,1,0,0,21,2,3,19,0,6,2,3,0,2,0,6,0,1,0,0,34,1,3,1,24410,372131,0,0,198630,676,0.309065586,,3.459774338,2,1,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,1,,,,,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
133814917,23683373,1900,0,,0,,,,,,0,0.283,0.283,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,,2525,0.3204,0,,0,,,,,,,0,0.3204,0,0.2456,0,,0,,,,,,0,0.2456,0,999,,,,37,37,,37,,1,5,4,0,3,0,1,0,0,13,2,3,5,0,7,0,3,0,1,0,0,0,0,0,0,21,0,2,1,0,179540,1168,124,24750,650,0,,9.542048281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,,,,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.8250315,90.8250315,1,0,0,0,1,0,0,0
133846453,23686656,0,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,10968,,,,,,,,,,,,,,,,,,,,,,,,,,999,,,,,,,,,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,0,2519,0,0,3800,689,,7.515889699,0.246933685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2249,2249,2249,2249,71.11491865,71.11491865,1,0,0,0,1,1,0,0,0,1,2249,2249,2249,2249,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
133974396,23732194,5500,0,,0,,,,,,0,0.1684,0.1434,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,,2174,0.1684,0,,0,,,,,,,0,0.1684,0,0.1684,0,,0,,,,,,0,0.1184,0,999,,,,,,,,,1,0,6,0,2,0,0,0,0,8,1,1,6,0,4,0,0,0,0,0,0,0,0,0,0,12,0,3,,0,14924,0,0,25751,649,0,,5.807379853,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,2,1,0,0,1,,,,,999,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,0,0,0,0,0,0,0,0
